ï»¿id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
11249,"Model, Lisette",Female,1906â€“1983,1906,1983,"Wien, Ã–sterreich","New York, United States",http://www.tate.org.uk/art/artists/lisette-model-11249
1663,"Morisot, Berthe",Female,1841â€“1895,1841,1895,"Bourges, France","Paris, France",http://www.tate.org.uk/art/artists/berthe-morisot-1663
7637,"Just, Jesper",Male,born 1974,1974,,"KÃ¸benhavn, Danmark",,http://www.tate.org.uk/art/artists/jesper-just-7637
14941,"Mantz, Werner",Male,1901â€“1983,1901,1983,"KÃ¶ln, Deutschland","Eijsden, Nederland",http://www.tate.org.uk/art/artists/werner-mantz-14941
192,"Foster, Myles Birket",Male,1825â€“1899,1825,1899,"Tynemouth, United Kingdom","Weybridge, United Kingdom",http://www.tate.org.uk/art/artists/myles-birket-foster-192
2471,"Alken, Samuel, Senior",Male,1756â€“1815,1756,1815,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/samuel-alken-senior-2471
7533,"Amorales, Carlos",Male,born 1970,1970,,"Ciudad de MÃ©xico, MÃ©xico",,http://www.tate.org.uk/art/artists/carlos-amorales-7533
2209,"KolÃ¡r, JirÃ_",Male,1914â€“2002,1914,2002,"ProtivÃ_n, CeskÃ¡ Republika","Praha, CeskÃ¡ Republika",http://www.tate.org.uk/art/artists/jiri-kolar-2209
360,"Maccoll, Dugald Sutherland",Male,1859â€“1948,1859,1948,"Glasgow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/dugald-sutherland-maccoll-360
5468,"Collins, Phil",Male,born 1970,1970,,"Runcorn, United Kingdom",,http://www.tate.org.uk/art/artists/phil-collins-5468
953,"Cragg, Tony",Male,born 1949,1949,,"Liverpool, United Kingdom",,http://www.tate.org.uk/art/artists/tony-cragg-953
2699,"Rhodes, Carol",Female,born 1959,1959,,"Edinburgh, United Kingdom",,http://www.tate.org.uk/art/artists/carol-rhodes-2699
387,"Streatfeild, Robert",Male,1786â€“1852,1786,1852,,,http://www.tate.org.uk/art/artists/robert-streatfeild-387
550,"Thornhill, Sir James",Male,1675 or 76â€“1734,1675,1734,"Dorset, United Kingdom",Stalbridge,http://www.tate.org.uk/art/artists/sir-james-thornhill-550
17408,"Thuring, Caragh",Female,born 1972,1972,,"Bruxelles, BelgiÃ«",,http://www.tate.org.uk/art/artists/caragh-thuring-17408
979,"Davie, Alan",Male,1920â€“2014,1920,2014,"Grangemouth, United Kingdom",,http://www.tate.org.uk/art/artists/alan-davie-979
5248,"Carnegie, Gillian",Female,born 1971,1971,,"Suffolk, United Kingdom",,http://www.tate.org.uk/art/artists/gillian-carnegie-5248
